CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption,Return,Volatility,BI,Carbon_Score,Energy_Score,ERI
8,Company_8,Healthcare,Europe,2015,7090.7,10.6,14828.8,,74.4,69.4,87.8,66.1,506391.0,506391.0,1012782.0,,,1.6528925619834711,99.54085763016865,99.90861677218872,62.705762649066514
8,Company_8,Healthcare,Europe,2016,7395.2,10.4,17692.4,4.3,75.5,69.3,89.8,67.6,528938.5,528938.5,1057876.9,10.847199999999999,0.43,4.132231404958677,99.52002277048952,99.90445008401598,63.77456399238871
8,Company_8,Healthcare,Europe,2017,7077.8,10.7,14011.4,-4.3,76.8,71.8,92.2,66.6,493832.6,493832.6,987665.3,10.239899999999999,0.43,7.43801652892562,99.55246213185595,99.91093751038368,65.16408488712561
8,Company_8,Healthcare,Europe,2018,6957.5,8.2,9292.2,-1.7,76.6,69.5,92.8,67.6,496422.5,496422.5,992845.0,8.060599999999999,0.16999999999999998,73.55371900826447,99.55006895287455,99.91045891536011,84.93822127612627
8,Company_8,Healthcare,Europe,2019,6690.8,9.7,8033.5,-3.8,77.0,67.2,98.8,64.9,488275.3,488275.3,976550.7,9.331399999999999,0.38,47.107438016528924,99.55759731605352,99.91196447956123,77.12614376408163
8,Company_8,Healthcare,Europe,2020,6751.9,8.7,7083.4,0.9,78.5,70.2,98.2,67.0,478492.5,478492.5,956984.9,8.778299999999998,0.09,100.0,99.56663704397319,99.91377232451597,93.44608187369784
8,Company_8,Healthcare,Europe,2021,6397.5,10.1,10983.2,-5.2,78.2,74.1,95.1,65.5,435991.0,435991.0,871982.0,9.5748,0.52,91.73553719008264,99.60591025779522,99.92162644057075,90.88616849669799
8,Company_8,Healthcare,Europe,2022,6583.8,10.3,8606.9,2.9,79.6,75.2,95.3,68.3,443275.8,443275.8,886551.6,10.5987,0.29,86.77685950413223,99.59917878930467,99.92028023556749,89.8169496562141
8,Company_8,Healthcare,Europe,2023,6810.4,11.1,9866.0,3.4,79.6,75.4,95.2,68.2,457696.4,457696.4,915392.8,11.4774,0.33999999999999997,66.11570247933884,99.58585353473151,99.91761536022842,83.61540452279364
8,Company_8,Healthcare,Europe,2024,7168.5,13.7,17539.0,5.3,81.4,78.2,95.0,71.1,468000.4,468000.4,936000.8,14.426099999999998,0.53,3.3057851239669422,99.57633219559706,99.91571121785616,65.31014421988073
8,Company_8,Healthcare,Europe,2025,7117.1,8.6,10386.3,-0.7,81.6,77.1,97.6,69.9,469707.3,469707.3,939414.6,8.5398,0.06999999999999999,,99.57475494659003,99.91539578883682,
11,Company_11,Energy,Europe,2015,1102.8,11.0,1367.9,,59.5,44.6,75.4,58.5,978737.8,293621.3,9787378.2,,,1.6528925619834711,99.10438887319417,99.09785976403322,57.98631749604051
11,Company_11,Energy,Europe,2016,833.7,7.9,657.0,-24.4,60.1,45.7,75.2,59.4,733816.9,220145.1,7338168.9,5.9724,2.44,4.132231404958677,99.33070631787692,99.32416232647074,59.00064315035714
11,Company_11,Energy,Europe,2017,621.3,10.8,849.4,-25.5,58.6,44.8,73.0,58.0,550492.2,165147.7,5504921.9,8.046000000000001,2.55,7.43801652892562,99.50010622474983,99.49355107314949,59.610136418257554
11,Company_11,Energy,Europe,2018,571.5,6.0,551.3,-8.0,61.2,51.1,73.7,58.8,481346.8,144404.0,4813468.2,5.5200000000000005,0.8,73.55371900826447,99.563999548021,99.55744015936067,80.25040364395568
11,Company_11,Energy,Europe,2019,507.9,-1.6,371.5,-11.1,64.3,57.2,74.0,61.6,405962.7,121788.8,4059626.6,-1.4224,1.1099999999999999,47.107438016528924,99.63365769839407,99.62709377604095,73.27438169984569
11,Company_11,Energy,Europe,2020,404.5,-1.7,1455.4,-20.3,64.8,61.8,71.4,61.3,310497.4,93149.2,3104974.2,-1.3548999999999998,2.0300000000000002,100.0,99.72187174118042,99.71530195178042,89.32743473859216
11,Company_11,Energy,Europe,2021,356.4,0.9,54.4,-11.9,64.4,64.0,68.7,60.4,267955.8,80386.7,2679558.1,0.7929,1.19,91.73553719008264,99.761182009127,99.75460963917659,86.74381948668552
11,Company_11,Energy,Europe,2022,295.3,0.6,17.0,-17.1,66.2,66.3,71.4,61.1,217375.8,65212.7,2173758.1,0.49739999999999995,1.7100000000000002,86.77685950413223,99.80792010437347,99.80134465528195,85.81491080317076
11,Company_11,Energy,Europe,2023,266.7,3.7,155.1,-9.7,67.7,68.9,72.8,61.5,191370.2,57411.1,1913701.7,3.3411000000000004,0.97,66.11570247933884,99.83195039717184,99.82537340190572,80.07617550361716
11,Company_11,Energy,Europe,2024,194.5,5.8,114.8,-27.1,69.2,70.3,74.9,62.2,137628.4,41288.5,1376284.1,4.2282,2.71,3.3057851239669422,99.88161013159488,99.87502982774855,61.703063529058774
11,Company_11,Energy,Europe,2025,170.6,4.7,158.9,-12.3,70.3,71.3,76.8,62.8,119639.5,35891.8,1196394.7,4.1219,1.23,,99.89823264882658,99.89165128683551,
16,Company_16,Energy,Europe,2015,1160.6,16.3,1921.2,,47.2,46.8,38.7,56.1,1012659.6,303797.9,10126595.9,,,1.6528925619834711,99.07304367115123,99.06651665475539,54.28377983377637
16,Company_16,Energy,Europe,2016,1213.5,14.3,2914.3,4.6,46.9,46.9,38.3,55.5,1057599.4,317279.8,10575993.9,14.9578,0.45999999999999996,4.132231404958677,99.03151736326753,99.0249930826563,54.92097151067237
16,Company_16,Energy,Europe,2017,1248.2,14.2,1935.3,2.9,47.5,48.3,39.1,55.1,1075823.2,322747.0,10758232.4,14.611799999999999,0.29,7.43801652892562,99.0146777883337,99.00815457092732,56.085971430529895
16,Company_16,Energy,Europe,2018,1320.2,17.3,4087.7,5.8,50.1,49.6,41.3,59.3,1126052.2,337815.6,11260521.6,18.3034,0.58,73.55371900826447,98.96826403218235,98.96174394646795,76.68211729820939
16,Company_16,Energy,Europe,2019,1268.4,15.1,2918.0,-3.9,50.8,52.2,41.0,59.3,1058730.8,317619.3,10587308.4,14.511099999999999,0.39,47.107438016528924,99.03047190101047,99.02394764307599,68.98311531377597
16,Company_16,Energy,Europe,2020,1265.3,16.6,3606.5,-0.2,51.4,51.6,41.3,61.3,1061247.1,318374.1,10612470.7,16.5668,0.02,100.0,99.02814673159432,99.02162269152251,85.02995388462337
16,Company_16,Energy,Europe,2021,1387.7,14.6,2539.7,9.7,52.6,54.6,39.1,64.0,1135154.7,340546.4,11351546.8,16.016199999999998,0.97,91.73553719008264,98.9598529307197,98.95333338065538,82.88329841929982
16,Company_16,Energy,Europe,2022,1283.2,20.5,3303.6,-7.5,56.8,59.6,44.0,66.7,1004250.2,301275.0,10042501.7,18.962500000000002,0.75,86.77685950413223,99.08081431840638,99.07428680855406,82.70407807663176
16,Company_16,Energy,Europe,2023,1119.0,29.3,2683.5,-12.8,57.7,58.3,45.2,69.8,886537.9,265961.4,8865378.6,25.5496,1.28,66.11570247933884,99.18958554594853,99.18305087940517,76.81923802887239
